"Site","Age","Sex","Incidence","SE","LowerCI","UpperCI","Count","Population"
"Lung squamous cell carcinoma","80-84 years","Male","123.308","0.749","121.845","124.784",27119,21992919
"Lung squamous cell carcinoma","80-84 years","Female","55.683","0.412","54.879","56.495",18298,32861291
"Lung squamous cell carcinoma","85-89 years","Male and female","58.195","0.42","57.375","59.023",19227,33038957
"Lung squamous cell carcinoma","85-89 years","Male","96.197","0.903","94.436","97.982",11361,11810198
"Lung squamous cell carcinoma","85-89 years","Female","37.054","0.418","36.239","37.882",7866,21228759
"Lung squamous cell carcinoma","90+ years","Male and female","22.565","0.341","21.902","23.242",4386,19437568
"Lung squamous cell carcinoma","90+ years","Male","45.618","0.901","43.869","47.419",2563,5618381
"Lung squamous cell carcinoma","90+ years","Female","13.192","0.309","12.593","13.812",1823,13819187
"Lung squamous cell carcinoma","Unknown","Male and female","~","~","~","~",0,0
"Lung squamous cell carcinoma","Unknown","Male","~","~","~","~",0,0
"Lung squamous cell carcinoma","Unknown","Female","~","~","~","~",0,0
"Small cell lung carcinoma","00 years","Male and female","0.002","0.002","0","0.013",1,43061201
"Small cell lung carcinoma","00 years","Male","0.005","0.005","0","0.025",1,22011981
"Small cell lung carcinoma","00 years","Female","0","~","0","0.018",0,21049220
"Small cell lung carcinoma","01-04 years","Male and female","0","~","0","0.002",0,172923682
"Small cell lung carcinoma","01-04 years","Male","0","~","0","0.004",0,88392817
"Small cell lung carcinoma","01-04 years","Female","0","~","0","0.004",0,84530865
"Small cell lung carcinoma","05-09 years","Male and female","0","0","0","0.003",1,219155625
"Small cell lung carcinoma","05-09 years","Male","0","~","0","0.003",0,112012583
"Small cell lung carcinoma","05-09 years","Female","0.001","0.001","0","0.005",1,107143042
"Small cell lung carcinoma","10-14 years","Male and female","0.001","0.001","0","0.004",3,228557404
"Small cell lung carcinoma","10-14 years","Male","0.003","0.001","0.001","0.007",3,116939349
"Small cell lung carcinoma","10-14 years","Female","0","~","0","0.003",0,111618055
"Small cell lung carcinoma","15-19 years","Male and female","0.002","0.001","0","0.004",4,229160336
"Small cell lung carcinoma","15-19 years","Male","0.003","0.001","0.001","0.007",3,117683875
"Small cell lung carcinoma","15-19 years","Female","0.001","0.001","0","0.005",1,111476461
"Small cell lung carcinoma","20-24 years","Male and female","0.012","0.002","0.008","0.018",28,229290703
"Small cell lung carcinoma","20-24 years","Male","0.01","0.003","0.005","0.018",12,117600125
"Small cell lung carcinoma","20-24 years","Female","0.014","0.004","0.008","0.023",16,111690578
"Small cell lung carcinoma","25-29 years","Male and female","0.018","0.003","0.013","0.024",41,231301985
"Small cell lung carcinoma","25-29 years","Male","0.02","0.004","0.012","0.029",23,117171061
"Small cell lung carcinoma","25-29 years","Female","0.016","0.004","0.009","0.025",18,114130924
"Small cell lung carcinoma","30-34 years","Male and female","0.057","0.005","0.048","0.068",131,230073908
"Small cell lung carcinoma","30-34 years","Male","0.067","0.008","0.053","0.084",78,115938128
"Small cell lung carcinoma","30-34 years","Female","0.046","0.006","0.035","0.061",53,114135780
"Small cell lung carcinoma","35-39 years","Male and female","0.219","0.01","0.201","0.24",502,228762701
"Small cell lung carcinoma","35-39 years","Male","0.231","0.014","0.204","0.261",265,114709436
"Small cell lung carcinoma","35-39 years","Female","0.208","0.013","0.182","0.236",237,114053265
"Small cell lung carcinoma","40-44 years","Male and female","0.885","0.02","0.847","0.925",2018,227960237
"Small cell lung carcinoma","40-44 years","Male","0.888","0.028","0.834","0.944",1009,113631501
"Small cell lung carcinoma","40-44 years","Female","0.883","0.028","0.829","0.939",1009,114328736
"Small cell lung carcinoma","45-49 years","Male and female","2.73","0.035","2.662","2.799",6142,224982270
"Small cell lung carcinoma","45-49 years","Male","2.739","0.05","2.642","2.838",3057,111622077
"Small cell lung carcinoma","45-49 years","Female","2.721","0.049","2.626","2.819",3085,113360193
"Small cell lung carcinoma","50-54 years","Male and female","6.486","0.055","6.379","6.594",14059,216770042
"Small cell lung carcinoma","50-54 years","Male","6.587","0.079","6.434","6.742",7038,106853315
"Small cell lung carcinoma","50-54 years","Female","6.388","0.076","6.239","6.539",7021,109916727
"Small cell lung carcinoma","55-59 years","Male and female","13.087","0.081","12.927","13.247",25804,197177690
"Small cell lung carcinoma","55-59 years","Male","13.458","0.118","13.227","13.692",12943,96171628
"Small cell lung carcinoma","55-59 years","Female","12.733","0.112","12.514","12.955",12861,101006062
"Small cell lung carcinoma","60-64 years","Male and female","22.05","0.115","21.825","22.277",36630,166118894
"Small cell lung carcinoma","60-64 years","Male","23.032","0.17","22.701","23.368",18402,79896239
"Small cell lung carcinoma","60-64 years","Female","21.141","0.157","20.835","21.45",18228,86222655
"Small cell lung carcinoma","65-69 years","Male and female","32.768","0.157","32.461","33.077",43467,132650888
"Small cell lung carcinoma","65-69 years","Male","34.928","0.237","34.465","35.395",21790,62386128
"Small cell lung carcinoma","65-69 years","Female","30.85","0.21","30.441","31.264",21677,70264760
"Small cell lung carcinoma","70-74 years","Male and female","41.719","0.201","41.325","42.115",42966,102989851
"Small cell lung carcinoma","70-74 years","Male","45.603","0.312","44.994","46.219",21383,46889081
"Small cell lung carcinoma","70-74 years","Female","38.472","0.262","37.96","38.989",21583,56100770
"Small cell lung carcinoma","75-79 years","Male and female","44.987","0.242","44.515","45.463",34694,77119602
"Small cell lung carcinoma","75-79 years","Male","51.198","0.392","50.433","51.971",17092,33384419
"Small cell lung carcinoma","75-79 years","Female","40.247","0.303","39.654","40.846",17602,43735183
"Small cell lung carcinoma","80-84 years","Male and female","37.175","0.26","36.666","37.689",20392,54854210
"Small cell lung carcinoma","80-84 years","Male","46.447","0.46","45.55","47.356",10215,21992919
"Small cell lung carcinoma","80-84 years","Female","30.97","0.307","30.371","31.577",10177,32861291
"Small cell lung carcinoma","85-89 years","Male and female","24.202","0.271","23.674","24.738",7996,33038957
"Small cell lung carcinoma","85-89 years","Male","34.496","0.54","33.444","35.571",4074,11810198
"Small cell lung carcinoma","85-89 years","Female","18.475","0.295","17.901","19.062",3922,21228759
"Small cell lung carcinoma","90+ years","Male and female","8.859","0.213","8.446","9.288",1722,19437568
"Small cell lung carcinoma","90+ years","Male","15.876","0.532","14.852","16.953",892,5618381
"Small cell lung carcinoma","90+ years","Female","6.006","0.208","5.604","6.429",830,13819187
"Small cell lung carcinoma","Unknown","Male and female","~","~","~","~",0,0
"Small cell lung carcinoma","Unknown","Male","~","~","~","~",0,0
"Small cell lung carcinoma","Unknown","Female","~","~","~","~",0,0
"Colorectal adenocarcinoma (MSS)","00 years","Male and female","0.002","0.002","0","0.013",1,43061201
"Colorectal adenocarcinoma (MSS)","00 years","Male","0.005","0.005","0","0.025",1,22011981
"Colorectal adenocarcinoma (MSS)","00 years","Female","0","~","0","0.018",0,21049220
"Colorectal adenocarcinoma (MSS)","01-04 years","Male and female","0","~","0","0.002",0,172923682
