"Site","Age","Sex","Incidence","SE","LowerCI","UpperCI","Count","Population"
"Kidney chromophobe carcinoma","30-34 years","Male","0.231","0.014","0.204","0.261",268,115938128
"Kidney chromophobe carcinoma","30-34 years","Female","0.273","0.015","0.244","0.305",312,114135780
"Kidney chromophobe carcinoma","35-39 years","Male and female","0.422","0.014","0.396","0.45",966,228762701
"Kidney chromophobe carcinoma","35-39 years","Male","0.413","0.019","0.377","0.452",474,114709436
"Kidney chromophobe carcinoma","35-39 years","Female","0.431","0.019","0.394","0.471",492,114053265
"Kidney chromophobe carcinoma","40-44 years","Male and female","0.637","0.017","0.605","0.671",1452,227960237
"Kidney chromophobe carcinoma","40-44 years","Male","0.627","0.023","0.582","0.675",713,113631501
"Kidney chromophobe carcinoma","40-44 years","Female","0.646","0.024","0.601","0.695",739,114328736
"Kidney chromophobe carcinoma","45-49 years","Male and female","0.835","0.019","0.797","0.873",1878,224982270
"Kidney chromophobe carcinoma","45-49 years","Male","0.876","0.028","0.822","0.933",978,111622077
"Kidney chromophobe carcinoma","45-49 years","Female","0.794","0.026","0.743","0.848",900,113360193
"Kidney chromophobe carcinoma","50-54 years","Male and female","1.121","0.023","1.077","1.166",2430,216770042
"Kidney chromophobe carcinoma","50-54 years","Male","1.271","0.034","1.204","1.34",1358,106853315
"Kidney chromophobe carcinoma","50-54 years","Female","0.975","0.03","0.918","1.035",1072,109916727
"Kidney chromophobe carcinoma","55-59 years","Male and female","1.433","0.027","1.381","1.487",2826,197177690
"Kidney chromophobe carcinoma","55-59 years","Male","1.751","0.043","1.668","1.837",1684,96171628
"Kidney chromophobe carcinoma","55-59 years","Female","1.131","0.033","1.066","1.198",1142,101006062
"Kidney chromophobe carcinoma","60-64 years","Male and female","1.85","0.033","1.785","1.916",3073,166118894
"Kidney chromophobe carcinoma","60-64 years","Male","2.372","0.054","2.266","2.481",1895,79896239
"Kidney chromophobe carcinoma","60-64 years","Female","1.366","0.04","1.289","1.447",1178,86222655
"Kidney chromophobe carcinoma","65-69 years","Male and female","2.369","0.042","2.287","2.454",3143,132650888
"Kidney chromophobe carcinoma","65-69 years","Male","3.063","0.07","2.927","3.204",1911,62386128
"Kidney chromophobe carcinoma","65-69 years","Female","1.753","0.05","1.657","1.854",1232,70264760
"Kidney chromophobe carcinoma","70-74 years","Male and female","2.677","0.051","2.578","2.779",2757,102989851
"Kidney chromophobe carcinoma","70-74 years","Male","3.476","0.086","3.31","3.649",1630,46889081
"Kidney chromophobe carcinoma","70-74 years","Female","2.009","0.06","1.893","2.13",1127,56100770
"Kidney chromophobe carcinoma","75-79 years","Male and female","2.503","0.057","2.392","2.617",1930,77119602
"Kidney chromophobe carcinoma","75-79 years","Male","3.319","0.1","3.126","3.52",1108,33384419
"Kidney chromophobe carcinoma","75-79 years","Female","1.879","0.066","1.753","2.012",822,43735183
"Kidney chromophobe carcinoma","80-84 years","Male and female","2.025","0.061","1.908","2.148",1111,54854210
"Kidney chromophobe carcinoma","80-84 years","Male","2.742","0.112","2.527","2.97",603,21992919
"Kidney chromophobe carcinoma","80-84 years","Female","1.546","0.069","1.414","1.686",508,32861291
"Kidney chromophobe carcinoma","85-89 years","Male and female","1.259","0.062","1.141","1.386",416,33038957
"Kidney chromophobe carcinoma","85-89 years","Male","1.88","0.126","1.641","2.144",222,11810198
"Kidney chromophobe carcinoma","85-89 years","Female","0.914","0.066","0.79","1.052",194,21228759
"Kidney chromophobe carcinoma","90+ years","Male and female","0.324","0.041","0.249","0.415",63,19437568
"Kidney chromophobe carcinoma","90+ years","Male","0.427","0.087","0.274","0.636",24,5618381
"Kidney chromophobe carcinoma","90+ years","Female","0.282","0.045","0.201","0.386",39,13819187
"Kidney chromophobe carcinoma","Unknown","Male and female","~","~","~","~",0,0
"Kidney chromophobe carcinoma","Unknown","Male","~","~","~","~",0,0
"Kidney chromophobe carcinoma","Unknown","Female","~","~","~","~",0,0
"Melanoma of skin","00 years","Male and female","0.095","0.015","0.068","0.129",41,43061201
"Melanoma of skin","00 years","Male","0.123","0.024","0.081","0.178",27,22011981
"Melanoma of skin","00 years","Female","0.067","0.018","0.036","0.112",14,21049220
"Melanoma of skin","01-04 years","Male and female","0.088","0.007","0.075","0.104",153,172923682
"Melanoma of skin","01-04 years","Male","0.075","0.009","0.058","0.095",66,88392817
"Melanoma of skin","01-04 years","Female","0.103","0.011","0.082","0.127",87,84530865
"Melanoma of skin","05-09 years","Male and female","0.137","0.008","0.122","0.153",300,219155625
"Melanoma of skin","05-09 years","Male","0.117","0.01","0.098","0.139",131,112012583
"Melanoma of skin","05-09 years","Female","0.158","0.012","0.135","0.183",169,107143042
"Melanoma of skin","10-14 years","Male and female","0.286","0.011","0.264","0.308",653,228557404
"Melanoma of skin","10-14 years","Male","0.275","0.015","0.246","0.307",322,116939349
"Melanoma of skin","10-14 years","Female","0.297","0.016","0.265","0.33",331,111618055
"Melanoma of skin","15-19 years","Male and female","1.065","0.022","1.023","1.108",2441,229160336
"Melanoma of skin","15-19 years","Male","0.828","0.027","0.776","0.881",974,117683875
"Melanoma of skin","15-19 years","Female","1.316","0.034","1.249","1.385",1467,111476461
"Melanoma of skin","20-24 years","Male and female","3.088","0.037","3.016","3.161",7080,229290703
"Melanoma of skin","20-24 years","Male","1.855","0.04","1.778","1.935",2182,117600125
"Melanoma of skin","20-24 years","Female","4.385","0.063","4.263","4.51",4898,111690578
"Melanoma of skin","25-29 years","Male and female","5.679","0.05","5.582","5.777",13136,231301985
"Melanoma of skin","25-29 years","Male","3.643","0.056","3.534","3.753",4268,117171061
"Melanoma of skin","25-29 years","Female","7.77","0.083","7.609","7.933",8868,114130924
"Melanoma of skin","30-34 years","Male and female","8.592","0.061","8.472","8.712",19767,230073908
"Melanoma of skin","30-34 years","Male","6.251","0.073","6.108","6.396",7247,115938128
"Melanoma of skin","30-34 years","Female","10.969","0.098","10.778","11.163",12520,114135780
"Melanoma of skin","35-39 years","Male and female","11.434","0.071","11.296","11.573",26156,228762701
"Melanoma of skin","35-39 years","Male","9.195","0.09","9.02","9.372",10547,114709436
"Melanoma of skin","35-39 years","Female","13.686","0.11","13.472","13.902",15609,114053265
"Melanoma of skin","40-44 years","Male and female","15.238","0.082","15.078","15.399",34737,227960237
"Melanoma of skin","40-44 years","Male","13.441","0.109","13.228","13.656",15273,113631501
"Melanoma of skin","40-44 years","Female","17.025","0.122","16.786","17.265",19464,114328736
"Melanoma of skin","45-49 years","Male and female","20.182","0.095","19.997","20.369",45406,224982270
"Melanoma of skin","45-49 years","Male","19.668","0.133","19.409","19.93",21954,111622077
"Melanoma of skin","45-49 years","Female","20.688","0.135","20.424","20.955",23452,113360193
"Melanoma of skin","50-54 years","Male and female","26.617","0.111","26.4","26.835",57697,216770042
"Melanoma of skin","50-54 years","Male","28.865","0.164","28.544","29.189",30843,106853315
"Melanoma of skin","50-54 years","Female","24.431","0.149","24.14","24.725",26854,109916727
"Melanoma of skin","55-59 years","Male and female","34.714","0.133","34.454","34.975",68448,197177690
"Melanoma of skin","55-59 years","Male","42.023","0.209","41.614","42.435",40414,96171628
"Melanoma of skin","55-59 years","Female","27.755","0.166","27.431","28.082",28034,101006062
"Melanoma of skin","60-64 years","Male and female","46.306","0.167","45.979","46.634",76923,166118894
"Melanoma of skin","60-64 years","Male","59.84","0.274","59.305","60.379",47810,79896239
"Melanoma of skin","60-64 years","Female","33.765","0.198","33.378","34.155",29113,86222655
"Melanoma of skin","65-69 years","Male and female","60.794","0.214","60.375","61.215",80644,132650888
"Melanoma of skin","65-69 years","Male","84.105","0.367","83.387","84.828",52470,62386128
"Melanoma of skin","65-69 years","Female","40.097","0.239","39.63","40.568",28174,70264760
"Melanoma of skin","70-74 years","Male and female","74.144","0.268","73.619","74.672",76361,102989851
"Melanoma of skin","70-74 years","Male","109.347","0.483","108.403","110.298",51272,46889081
"Melanoma of skin","70-74 years","Female","44.721","0.282","44.17","45.278",25089,56100770
"Melanoma of skin","75-79 years","Male and female","87.516","0.337","86.857","88.179",67492,77119602
"Melanoma of skin","75-79 years","Male","137.25","0.641","135.996","138.512",45820,33384419
"Melanoma of skin","75-79 years","Female","49.553","0.337","48.895","50.217",21672,43735183
"Melanoma of skin","80-84 years","Male and female","96.888","0.42","96.066","97.715",53147,54854210
"Melanoma of skin","80-84 years","Male","161.393","0.857","159.718","163.081",35495,21992919
"Melanoma of skin","80-84 years","Female","53.717","0.404","52.927","54.515",17652,32861291
"Melanoma of skin","85-89 years","Male and female","101.789","0.555","100.704","102.883",33630,33038957
"Melanoma of skin","85-89 years","Male","181.944","1.241","179.52","184.394",21488,11810198
"Melanoma of skin","85-89 years","Female","57.196","0.519","56.183","58.223",12142,21228759
"Melanoma of skin","90+ years","Male and female","90.927","0.684","89.591","92.278",17674,19437568
"Melanoma of skin","90+ years","Male","178.788","1.784","175.309","182.319",10045,5618381
"Melanoma of skin","90+ years","Female","55.206","0.632","53.974","56.459",7629,13819187
"Melanoma of skin","Unknown","Male and female","~","~","~","~",0,0
"Melanoma of skin","Unknown","Male","~","~","~","~",0,0
"Melanoma of skin","Unknown","Female","~","~","~","~",0,0
"Malignant gliomas (astrocytic tumors)","00 years","Male and female","0.448","0.032","0.387","0.516",193,43061201
"Malignant gliomas (astrocytic tumors)","00 years","Male","0.454","0.045","0.37","0.553",100,22011981
"Malignant gliomas (astrocytic tumors)","00 years","Female","0.442","0.046","0.357","0.541",93,21049220
"Malignant gliomas (astrocytic tumors)","01-04 years","Male and female","0.352","0.014","0.324","0.381",608,172923682
"Malignant gliomas (astrocytic tumors)","01-04 years","Male","0.351","0.02","0.313","0.392",310,88392817
"Malignant gliomas (astrocytic tumors)","01-04 years","Female","0.353","0.02","0.314","0.395",298,84530865
"Malignant gliomas (astrocytic tumors)","05-09 years","Male and female","0.406","0.014","0.38","0.434",890,219155625
"Malignant gliomas (astrocytic tumors)","05-09 years","Male","0.429","0.02","0.392","0.47",481,112012583
"Malignant gliomas (astrocytic tumors)","05-09 years","Female","0.382","0.019","0.346","0.421",409,107143042
"Malignant gliomas (astrocytic tumors)","10-14 years","Male and female","0.43","0.014","0.404","0.458",983,228557404
"Malignant gliomas (astrocytic tumors)","10-14 years","Male","0.459","0.02","0.421","0.5",537,116939349
"Malignant gliomas (astrocytic tumors)","10-14 years","Female","0.4","0.019","0.363","0.438",446,111618055
"Malignant gliomas (astrocytic tumors)","15-19 years","Male and female","0.506","0.015","0.477","0.536",1160,229160336
"Malignant gliomas (astrocytic tumors)","15-19 years","Male","0.567","0.022","0.525","0.611",667,117683875
"Malignant gliomas (astrocytic tumors)","15-19 years","Female","0.442","0.02","0.404","0.483",493,111476461
"Malignant gliomas (astrocytic tumors)","20-24 years","Male and female","0.798","0.019","0.762","0.835",1829,229290703
"Malignant gliomas (astrocytic tumors)","20-24 years","Male","0.918","0.028","0.864","0.975",1080,117600125
"Malignant gliomas (astrocytic tumors)","20-24 years","Female","0.671","0.025","0.623","0.72",749,111690578
"Malignant gliomas (astrocytic tumors)","25-29 years","Male and female","1.24","0.023","1.195","1.286",2867,231301985
"Malignant gliomas (astrocytic tumors)","25-29 years","Male","1.435","0.035","1.367","1.505",1681,117171061
"Malignant gliomas (astrocytic tumors)","25-29 years","Female","1.039","0.03","0.981","1.1",1186,114130924
"Malignant gliomas (astrocytic tumors)","30-34 years","Male and female","1.597","0.026","1.546","1.65",3675,230073908
"Malignant gliomas (astrocytic tumors)","30-34 years","Male","1.88","0.04","1.802","1.961",2180,115938128
"Malignant gliomas (astrocytic tumors)","30-34 years","Female","1.31","0.034","1.244","1.378",1495,114135780
"Malignant gliomas (astrocytic tumors)","35-39 years","Male and female","1.928","0.029","1.871","1.986",4410,228762701
"Malignant gliomas (astrocytic tumors)","35-39 years","Male","2.29","0.045","2.203","2.379",2627,114709436
"Malignant gliomas (astrocytic tumors)","35-39 years","Female","1.563","0.037","1.492","1.638",1783,114053265
"Malignant gliomas (astrocytic tumors)","40-44 years","Male and female","2.462","0.033","2.398","2.528",5613,227960237
"Malignant gliomas (astrocytic tumors)","40-44 years","Male","3.054","0.052","2.953","3.157",3470,113631501
"Malignant gliomas (astrocytic tumors)","40-44 years","Female","1.874","0.04","1.796","1.955",2143,114328736
"Malignant gliomas (astrocytic tumors)","45-49 years","Male and female","3.64","0.04","3.561","3.72",8189,224982270
"Malignant gliomas (astrocytic tumors)","45-49 years","Male","4.501","0.064","4.377","4.627",5024,111622077
"Malignant gliomas (astrocytic tumors)","45-49 years","Female","2.792","0.05","2.696","2.891",3165,113360193
"Malignant gliomas (astrocytic tumors)","50-54 years","Male and female","5.453","0.05","5.355","5.552",11820,216770042
"Malignant gliomas (astrocytic tumors)","50-54 years","Male","6.689","0.079","6.534","6.846",7147,106853315
"Malignant gliomas (astrocytic tumors)","50-54 years","Female","4.251","0.062","4.13","4.375",4673,109916727
"Malignant gliomas (astrocytic tumors)","55-59 years","Male and female","7.9","0.063","7.776","8.025",15577,197177690
"Malignant gliomas (astrocytic tumors)","55-59 years","Male","9.662","0.1","9.466","9.86",9292,96171628
"Malignant gliomas (astrocytic tumors)","55-59 years","Female","6.222","0.078","6.07","6.378",6285,101006062
"Malignant gliomas (astrocytic tumors)","60-64 years","Male and female","10.57","0.08","10.414","10.728",17559,166118894
"Malignant gliomas (astrocytic tumors)","60-64 years","Male","12.824","0.127","12.577","13.075",10246,79896239
"Malignant gliomas (astrocytic tumors)","60-64 years","Female","8.482","0.099","8.288","8.678",7313,86222655
"Malignant gliomas (astrocytic tumors)","65-69 years","Male and female","13.235","0.1","13.04","13.433",17557,132650888
"Malignant gliomas (astrocytic tumors)","65-69 years","Male","16.22","0.161","15.905","16.539",10119,62386128
"Malignant gliomas (astrocytic tumors)","65-69 years","Female","10.586","0.123","10.346","10.829",7438,70264760
"Malignant gliomas (astrocytic tumors)","70-74 years","Male and female","15.793","0.124","15.551","16.037",16265,102989851
"Malignant gliomas (astrocytic tumors)","70-74 years","Male","19.361","0.203","18.964","19.763",9078,46889081
"Malignant gliomas (astrocytic tumors)","70-74 years","Female","12.811","0.151","12.516","13.111",7187,56100770
"Malignant gliomas (astrocytic tumors)","75-79 years","Male and female","17.289","0.15","16.997","17.585",13333,77119602
"Malignant gliomas (astrocytic tumors)","75-79 years","Male","21.54","0.254","21.045","22.044",7191,33384419
"Malignant gliomas (astrocytic tumors)","75-79 years","Female","14.044","0.179","13.695","14.399",6142,43735183
"Malignant gliomas (astrocytic tumors)","80-84 years","Male and female","15.835","0.17","15.503","16.171",8686,54854210
"Malignant gliomas (astrocytic tumors)","80-84 years","Male","20.679","0.307","20.083","21.289",4548,21992919
"Malignant gliomas (astrocytic tumors)","80-84 years","Female","12.592","0.196","12.212","12.982",4138,32861291
"Malignant gliomas (astrocytic tumors)","85-89 years","Male and female","12.276","0.193","11.901","12.66",4056,33038957
"Malignant gliomas (astrocytic tumors)","85-89 years","Male","17.045","0.38","16.308","17.806",2013,11810198
"Malignant gliomas (astrocytic tumors)","85-89 years","Female","9.624","0.213","9.211","10.05",2043,21228759
"Malignant gliomas (astrocytic tumors)","90+ years","Male and female","6.729","0.186","6.369","7.104",1308,19437568
"Malignant gliomas (astrocytic tumors)","90+ years","Male","10.305","0.428","9.483","11.18",579,5618381
"Malignant gliomas (astrocytic tumors)","90+ years","Female","5.275","0.195","4.899","5.673",729,13819187
"Malignant gliomas (astrocytic tumors)","Unknown","Male and female","~","~","~","~",0,0
"Malignant gliomas (astrocytic tumors)","Unknown","Male","~","~","~","~",0,0
"Malignant gliomas (astrocytic tumors)","Unknown","Female","~","~","~","~",0,0
"Hodgkin lymphoma","00 years","Male and female","0","~","0","0.009",0,43061201
"Hodgkin lymphoma","00 years","Male","0","~","0","0.017",0,22011981
"Hodgkin lymphoma","00 years","Female","0","~","0","0.018",0,21049220
"Hodgkin lymphoma","01-04 years","Male and female","0.098","0.008","0.084","0.114",169,172923682
"Hodgkin lymphoma","01-04 years","Male","0.135","0.012","0.112","0.161",119,88392817
"Hodgkin lymphoma","01-04 years","Female","0.059","0.008","0.044","0.078",50,84530865
"Hodgkin lymphoma","05-09 years","Male and female","0.407","0.014","0.381","0.435",893,219155625
"Hodgkin lymphoma","05-09 years","Male","0.592","0.023","0.548","0.639",663,112012583
"Hodgkin lymphoma","05-09 years","Female","0.215","0.014","0.188","0.244",230,107143042
"Hodgkin lymphoma","10-14 years","Male and female","1.194","0.023","1.15","1.24",2729,228557404
"Hodgkin lymphoma","10-14 years","Male","1.322","0.034","1.257","1.39",1546,116939349
"Hodgkin lymphoma","10-14 years","Female","1.06","0.031","1","1.122",1183,111618055
"Hodgkin lymphoma","15-19 years","Male and female","3.061","0.037","2.99","3.134",7015,229160336
"Hodgkin lymphoma","15-19 years","Male","2.969","0.05","2.871","3.069",3494,117683875
"Hodgkin lymphoma","15-19 years","Female","3.159","0.053","3.055","3.265",3521,111476461
"Hodgkin lymphoma","20-24 years","Male and female","4.175","0.043","4.092","4.26",9573,229290703
"Hodgkin lymphoma","20-24 years","Male","4.021","0.058","3.907","4.138",4729,117600125
"Hodgkin lymphoma","20-24 years","Female","4.337","0.062","4.216","4.461",4844,111690578
"Hodgkin lymphoma","25-29 years","Male and female","4.034","0.042","3.953","4.117",9331,231301985
"Hodgkin lymphoma","25-29 years","Male","3.963","0.058","3.85","4.079",4644,117171061
"Hodgkin lymphoma","25-29 years","Female","4.107","0.06","3.99","4.226",4687,114130924
"Hodgkin lymphoma","30-34 years","Male and female","3.544","0.039","3.468","3.622",8154,230073908
"Hodgkin lymphoma","30-34 years","Male","3.675","0.056","3.566","3.787",4261,115938128
"Hodgkin lymphoma","30-34 years","Female","3.411","0.055","3.305","3.52",3893,114135780
"Hodgkin lymphoma","35-39 years","Male and female","3.009","0.036","2.938","3.081",6883,228762701
"Hodgkin lymphoma","35-39 years","Male","3.355","0.054","3.249","3.462",3848,114709436
"Hodgkin lymphoma","35-39 years","Female","2.661","0.048","2.567","2.757",3035,114053265
"Hodgkin lymphoma","40-44 years","Male and female","2.668","0.034","2.602","2.736",6083,227960237
"Hodgkin lymphoma","40-44 years","Male","3.217","0.053","3.113","3.323",3655,113631501
"Hodgkin lymphoma","40-44 years","Female","2.124","0.043","2.04","2.21",2428,114328736
"Hodgkin lymphoma","45-49 years","Male and female","2.361","0.032","2.298","2.425",5312,224982270
"Hodgkin lymphoma","45-49 years","Male","2.895","0.051","2.796","2.996",3231,111622077
"Hodgkin lymphoma","45-49 years","Female","1.836","0.04","1.758","1.916",2081,113360193
"Hodgkin lymphoma","50-54 years","Male and female","2.321","0.033","2.257","2.386",5031,216770042
"Hodgkin lymphoma","50-54 years","Male","2.958","0.053","2.856","3.063",3161,106853315
"Hodgkin lymphoma","50-54 years","Female","1.701","0.039","1.625","1.78",1870,109916727
"Hodgkin lymphoma","55-59 years","Male and female","2.473","0.035","2.404","2.543",4876,197177690
"Hodgkin lymphoma","55-59 years","Male","3.156","0.057","3.045","3.27",3035,96171628
"Hodgkin lymphoma","55-59 years","Female","1.823","0.042","1.74","1.908",1841,101006062
"Hodgkin lymphoma","60-64 years","Male and female","2.681","0.04","2.603","2.761",4454,166118894
"Hodgkin lymphoma","60-64 years","Male","3.309","0.064","3.184","3.438",2644,79896239
"Hodgkin lymphoma","60-64 years","Female","2.099","0.049","2.004","2.198",1810,86222655
"Hodgkin lymphoma","65-69 years","Male and female","3.204","0.049","3.108","3.302",4250,132650888
"Hodgkin lymphoma","65-69 years","Male","3.974","0.08","3.819","4.133",2479,62386128
"Hodgkin lymphoma","65-69 years","Female","2.52","0.06","2.404","2.641",1771,70264760
"Hodgkin lymphoma","70-74 years","Male and female","3.769","0.06","3.652","3.89",3882,102989851
"Hodgkin lymphoma","70-74 years","Male","4.628","0.099","4.435","4.827",2170,46889081
"Hodgkin lymphoma","70-74 years","Female","3.052","0.074","2.909","3.2",1712,56100770
"Hodgkin lymphoma","75-79 years","Male and female","4.33","0.075","4.184","4.479",3339,77119602
"Hodgkin lymphoma","75-79 years","Male","5.2","0.125","4.958","5.451",1736,33384419
"Hodgkin lymphoma","75-79 years","Female","3.665","0.092","3.488","3.849",1603,43735183
"Hodgkin lymphoma","80-84 years","Male and female","4.299","0.089","4.127","4.476",2358,54854210
"Hodgkin lymphoma","80-84 years","Male","5.443","0.157","5.139","5.76",1197,21992919
"Hodgkin lymphoma","80-84 years","Female","3.533","0.104","3.333","3.742",1161,32861291
"Hodgkin lymphoma","85-89 years","Male and female","3.85","0.108","3.641","4.068",1272,33038957
"Hodgkin lymphoma","85-89 years","Male","4.936","0.204","4.544","5.354",583,11810198
"Hodgkin lymphoma","85-89 years","Female","3.246","0.124","3.008","3.497",689,21228759
"Hodgkin lymphoma","90+ years","Male and female","2.037","0.102","1.842","2.248",396,19437568
"Hodgkin lymphoma","90+ years","Male","2.919","0.228","2.489","3.402",164,5618381
"Hodgkin lymphoma","90+ years","Female","1.679","0.11","1.47","1.909",232,13819187
"Hodgkin lymphoma","Unknown","Male and female","~","~","~","~",0,0
"Hodgkin lymphoma","Unknown","Male","~","~","~","~",0,0
"Hodgkin lymphoma","Unknown","Female","~","~","~","~",0,0
"Diffuse large B-cell lymphoma (DLBCL)","00 years","Male and female","0.044","0.01","0.027","0.069",19,43061201
"Diffuse large B-cell lymphoma (DLBCL)","00 years","Male","0.041","0.014","0.019","0.078",9,22011981
"Diffuse large B-cell lymphoma (DLBCL)","00 years","Female","0.048","0.015","0.023","0.087",10,21049220
"Diffuse large B-cell lymphoma (DLBCL)","01-04 years","Male and female","0.082","0.007","0.069","0.096",141,172923682
"Diffuse large B-cell lymphoma (DLBCL)","01-04 years","Male","0.088","0.01","0.07","0.11",78,88392817
"Diffuse large B-cell lymphoma (DLBCL)","01-04 years","Female","0.075","0.009","0.057","0.095",63,84530865
"Diffuse large B-cell lymphoma (DLBCL)","05-09 years","Male and female","0.122","0.007","0.108","0.137",267,219155625
"Diffuse large B-cell lymphoma (DLBCL)","05-09 years","Male","0.155","0.012","0.133","0.18",174,112012583
"Diffuse large B-cell lymphoma (DLBCL)","05-09 years","Female","0.087","0.009","0.07","0.106",93,107143042
"Diffuse large B-cell lymphoma (DLBCL)","10-14 years","Male and female","0.264","0.011","0.243","0.286",603,228557404
"Diffuse large B-cell lymphoma (DLBCL)","10-14 years","Male","0.313","0.016","0.282","0.347",366,116939349
"Diffuse large B-cell lymphoma (DLBCL)","10-14 years","Female","0.212","0.014","0.186","0.241",237,111618055
"Diffuse large B-cell lymphoma (DLBCL)","15-19 years","Male and female","0.606","0.016","0.574","0.638",1388,229160336
"Diffuse large B-cell lymphoma (DLBCL)","15-19 years","Male","0.713","0.025","0.665","0.763",839,117683875
"Diffuse large B-cell lymphoma (DLBCL)","15-19 years","Female","0.492","0.021","0.452","0.535",549,111476461
"Diffuse large B-cell lymphoma (DLBCL)","20-24 years","Male and female","0.979","0.021","0.939","1.02",2244,229290703
"Diffuse large B-cell lymphoma (DLBCL)","20-24 years","Male","1.139","0.031","1.079","1.202",1340,117600125
"Diffuse large B-cell lymphoma (DLBCL)","20-24 years","Female","0.809","0.027","0.757","0.864",904,111690578
"Diffuse large B-cell lymphoma (DLBCL)","25-29 years","Male and female","1.351","0.024","1.304","1.399",3125,231301985
"Diffuse large B-cell lymphoma (DLBCL)","25-29 years","Male","1.581","0.037","1.51","1.655",1853,117171061
"Diffuse large B-cell lymphoma (DLBCL)","25-29 years","Female","1.115","0.031","1.054","1.177",1272,114130924
"Diffuse large B-cell lymphoma (DLBCL)","30-34 years","Male and female","1.845","0.028","1.79","1.901",4245,230073908
"Diffuse large B-cell lymphoma (DLBCL)","30-34 years","Male","2.188","0.043","2.104","2.275",2537,115938128
"Diffuse large B-cell lymphoma (DLBCL)","30-34 years","Female","1.496","0.036","1.426","1.569",1708,114135780
"Diffuse large B-cell lymphoma (DLBCL)","35-39 years","Male and female","2.618","0.034","2.552","2.685",5989,228762701
"Diffuse large B-cell lymphoma (DLBCL)","35-39 years","Male","3.215","0.053","3.112","3.321",3688,114709436
"Diffuse large B-cell lymphoma (DLBCL)","35-39 years","Female","2.017","0.042","1.936","2.102",2301,114053265
"Diffuse large B-cell lymphoma (DLBCL)","40-44 years","Male and female","3.511","0.039","3.435","3.589",8004,227960237
"Diffuse large B-cell lymphoma (DLBCL)","40-44 years","Male","4.457","0.063","4.335","4.581",5064,113631501
"Diffuse large B-cell lymphoma (DLBCL)","40-44 years","Female","2.572","0.047","2.479","2.666",2940,114328736
"Diffuse large B-cell lymphoma (DLBCL)","45-49 years","Male and female","5.004","0.047","4.911","5.097",11257,224982270
"Diffuse large B-cell lymphoma (DLBCL)","45-49 years","Male","6.306","0.075","6.16","6.455",7039,111622077
"Diffuse large B-cell lymphoma (DLBCL)","45-49 years","Female","3.721","0.057","3.609","3.835",4218,113360193
"Diffuse large B-cell lymphoma (DLBCL)","50-54 years","Male and female","7.116","0.057","7.004","7.229",15426,216770042
"Diffuse large B-cell lymphoma (DLBCL)","50-54 years","Male","8.784","0.091","8.607","8.964",9386,106853315
"Diffuse large B-cell lymphoma (DLBCL)","50-54 years","Female","5.495","0.071","5.357","5.635",6040,109916727
"Diffuse large B-cell lymphoma (DLBCL)","55-59 years","Male and female","10.149","0.072","10.009","10.29",20011,197177690
"Diffuse large B-cell lymphoma (DLBCL)","55-59 years","Male","12.344","0.113","12.122","12.568",11871,96171628
"Diffuse large B-cell lymphoma (DLBCL)","55-59 years","Female","8.059","0.089","7.885","8.236",8140,101006062
"Diffuse large B-cell lymphoma (DLBCL)","60-64 years","Male and female","14.784","0.094","14.6","14.97",24559,166118894
"Diffuse large B-cell lymphoma (DLBCL)","60-64 years","Male","17.584","0.148","17.294","17.877",14049,79896239
"Diffuse large B-cell lymphoma (DLBCL)","60-64 years","Female","12.189","0.119","11.957","12.425",10510,86222655
"Diffuse large B-cell lymphoma (DLBCL)","65-69 years","Male and female","21.562","0.127","21.313","21.813",28602,132650888
"Diffuse large B-cell lymphoma (DLBCL)","65-69 years","Male","25.339","0.202","24.945","25.737",15808,62386128
"Diffuse large B-cell lymphoma (DLBCL)","65-69 years","Female","18.208","0.161","17.894","18.527",12794,70264760
"Diffuse large B-cell lymphoma (DLBCL)","70-74 years","Male and female","29.387","0.169","29.057","29.72",30266,102989851
"Diffuse large B-cell lymphoma (DLBCL)","70-74 years","Male","34.722","0.272","34.191","35.26",16281,46889081
"Diffuse large B-cell lymphoma (DLBCL)","70-74 years","Female","24.928","0.211","24.517","25.345",13985,56100770
"Diffuse large B-cell lymphoma (DLBCL)","75-79 years","Male and female","38.65","0.224","38.213","39.092",29807,77119602
"Diffuse large B-cell lymphoma (DLBCL)","75-79 years","Male","46.42","0.373","45.692","47.157",15497,33384419
"Diffuse large B-cell lymphoma (DLBCL)","75-79 years","Female","32.72","0.274","32.186","33.26",14310,43735183
"Diffuse large B-cell lymphoma (DLBCL)","80-84 years","Male and female","46.035","0.29","45.469","46.606",25252,54854210
"Diffuse large B-cell lymphoma (DLBCL)","80-84 years","Male","57.264","0.51","56.268","58.273",12594,21992919
"Diffuse large B-cell lymphoma (DLBCL)","80-84 years","Female","38.519","0.342","37.851","39.196",12658,32861291
"Diffuse large B-cell lymphoma (DLBCL)","85-89 years","Male and female","47.344","0.379","46.605","48.092",15642,33038957
"Diffuse large B-cell lymphoma (DLBCL)","85-89 years","Male","61.481","0.722","60.075","62.911",7261,11810198
"Diffuse large B-cell lymphoma (DLBCL)","85-89 years","Female","39.479","0.431","38.639","40.334",8381,21228759
"Diffuse large B-cell lymphoma (DLBCL)","90+ years","Male and female","35.37","0.427","34.538","36.216",6875,19437568
"Diffuse large B-cell lymphoma (DLBCL)","90+ years","Male","50.086","0.944","48.252","51.971",2814,5618381
